Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,144,6.7e-05,6,6.09e-05,6
v,145,6.7e-05,7,6.09e-05,7
v,146,6.71e-05,7,6.09e-05,7
v,147,6.71e-05,6,6.09e-05,6
v,148,6.68e-05,7,6.09e-05,7
v,149,6.72e-05,6,6.08e-05,6
v,150,6.71e-05,7,6.09e-05,7
v,151,6.7e-05,6,6.09e-05,6
v,152,6.7e-05,5,6.74e-05,5
v,153,6.73e-05,6,6.01e-05,6
v,154,6.73e-05,6,5.99e-05,6
v,155,6.71e-05,6,5.97e-05,6
v,156,6.69e-05,7,6e-05,7
v,157,7.05e-05,4,5.95e-05,4
v,158,6.69e-05,5,5.95e-05,5
v,159,6.71e-05,7,5.98e-05,7
v,160,6.7e-05,4,5.94e-05,4
v,161,6.68e-05,6,5.98e-05,6
v,162,6.7e-05,8,6e-05,8
v,163,6.69e-05,6,5.96e-05,6
v,164,6.7e-05,8,6.02e-05,8
v,165,6.7e-05,5,5.96e-05,5
v,166,6.69e-05,7,5.97e-05,7
v,167,6.7e-05,5,5.95e-05,5
v,168,6.73e-05,8,6.33e-05,8
v,169,7.73e-05,8,6e-05,8
v,170,7.7e-05,8,5.99e-05,8
v,171,7.73e-05,4,5.94e-05,4
v,172,7.7e-05,6,5.96e-05,6
v,173,7.69e-05,6,5.97e-05,6
v,174,7.7e-05,7,5.98e-05,7
v,175,7.69e-05,8,5.99e-05,8
v,176,7.68e-05,5,5.96e-05,5
v,177,7.71e-05,6,5.96e-05,6
v,178,7.7e-05,5,5.96e-05,5
v,179,7.71e-05,6,5.98e-05,6
v,180,7.7e-05,6,5.97e-05,6
v,181,7.69e-05,6,5.96e-05,6
v,182,7.68e-05,6,5.96e-05,6
v,183,7.46e-05,6,6.03e-05,6
v,184,6.74e-05,7,6.01e-05,7
v,185,6.66e-05,5,5.97e-05,5
v,186,6.7e-05,5,5.96e-05,5
v,187,6.7e-05,7,5.98e-05,7
v,188,6.7e-05,7,5.99e-05,7
v,189,6.72e-05,6,5.96e-05,6
v,190,6.72e-05,9,6e-05,9
v,191,6.71e-05,5,5.95e-05,5
v,192,6.7e-05,5,5.96e-05,5
v,193,6.69e-05,7,5.97e-05,7
v,194,6.72e-05,6,5.96e-05,6
v,195,6.7e-05,8,6e-05,8
v,196,6.7e-05,4,6.17e-05,4
v,197,6.76e-05,5,5.98e-05,5
v,198,6.72e-05,7,6e-05,7
v,199,6.72e-05,8,6.01e-05,8
v,200,6.72e-05,6,5.98e-05,6
v,201,6.7e-05,5,5.95e-05,5
v,202,6.71e-05,6,6.15e-05,6
v,203,6.71e-05,7,5.98e-05,7
v,204,6.69e-05,5,5.96e-05,5
v,205,6.72e-05,5,5.96e-05,5
v,206,6.7e-05,7,5.98e-05,7
v,207,6.72e-05,6,5.97e-05,6
v,208,6.7e-05,6,5.97e-05,6
v,209,6.71e-05,7,5.97e-05,7
v,210,7.04e-05,7,6.02e-05,7
v,211,6.76e-05,7,6e-05,7
v,212,6.72e-05,5,5.97e-05,5
v,213,6.7e-05,5,5.97e-05,5
v,214,6.7e-05,6,5.96e-05,6
v,215,6.71e-05,5,5.95e-05,5
v,216,6.71e-05,7,5.99e-05,7
v,217,6.71e-05,4,5.95e-05,4
v,218,6.7e-05,6,5.98e-05,6
v,219,6.71e-05,7,5.98e-05,7
v,220,6.71e-05,7,6e-05,7
v,221,6.71e-05,6,5.97e-05,6
v,222,6.7e-05,4,5.94e-05,4
v,223,6.72e-05,6,5.97e-05,6
v,224,6.71e-05,8,6e-05,8
v,225,6.71e-05,7,5.97e-05,7
v,226,6.99e-05,6,6.02e-05,6
v,227,6.74e-05,5,5.97e-05,5
v,228,6.71e-05,5,5.95e-05,5
v,229,6.7e-05,7,5.98e-05,7
v,230,6.7e-05,6,5.97e-05,6
v,231,6.7e-05,6,5.97e-05,6
v,232,6.7e-05,5,5.96e-05,5
v,233,6.7e-05,5,5.96e-05,5
v,234,6.71e-05,5,5.96e-05,5
v,235,6.71e-05,5,5.96e-05,5
v,236,6.71e-05,7,5.98e-05,7
v,237,6.7e-05,5,5.96e-05,5
v,238,6.7e-05,6,5.96e-05,6
v,239,6.7e-05,4,5.95e-05,4
v,240,6.71e-05,6,5.96e-05,6
v,241,6.71e-05,7,6.27e-05,7
v,242,6.77e-05,6,5.99e-05,6
v,243,6.71e-05,8,6.01e-05,8
v,244,6.71e-05,5,5.96e-05,5
v,245,6.7e-05,7,5.99e-05,7
v,246,6.71e-05,7,5.98e-05,7
v,247,6.72e-05,7,6e-05,7
v,248,6.72e-05,4,5.96e-05,4
v,249,6.76e-05,7,6e-05,7
v,250,6.72e-05,6,5.98e-05,6
v,251,6.7e-05,7,5.99e-05,7
v,252,6.71e-05,8,6.02e-05,8
v,253,7.11e-05,6,5.98e-05,6
v,254,6.7e-05,8,6e-05,8
v,255,6.71e-05,6,6.19e-05,6
v,256,6.74e-05,5,5.98e-05,5
v,257,6.71e-05,7,6e-05,7
v,258,6.71e-05,5,5.96e-05,5
v,259,6.71e-05,6,5.97e-05,6
v,260,6.7e-05,7,5.98e-05,7
v,261,6.7e-05,6,5.97e-05,6
v,262,6.71e-05,5,5.97e-05,5
v,263,6.75e-05,7,6e-05,7
v,264,0.0001446,5,0.0001275,5
v,265,0.0001213,6,0.0001353,6
v,266,9.45e-05,5,6.07e-05,5
v,267,6.58e-05,7,6.05e-05,7
v,268,9.4e-05,6,8.66e-05,6
v,269,6.62e-05,8,7.76e-05,8
v,270,6.92e-05,6,9.52e-05,6
v,271,6.7e-05,5,6.08e-05,5
v,272,6.5e-05,6,5.99e-05,6
v,273,6.5e-05,7,6e-05,7
v,274,6.46e-05,4,5.95e-05,4
v,275,6.48e-05,6,5.98e-05,6
v,276,6.53e-05,7,5.99e-05,7
v,277,6.47e-05,6,5.97e-05,6
v,278,6.52e-05,9,6.02e-05,9
v,279,6.52e-05,4,5.95e-05,4
v,280,6.53e-05,6,5.97e-05,6
v,281,6.52e-05,6,5.97e-05,6
v,282,6.51e-05,6,5.96e-05,6
v,283,6.5e-05,5,5.95e-05,5
v,284,8.76e-05,5,6.02e-05,5
v,285,6.57e-05,6,5.98e-05,6
v,286,6.51e-05,4,5.94e-05,4
v,287,6.52e-05,8,6e-05,8
v,288,6.51e-05,7,5.98e-05,7
v,289,6.51e-05,5,5.96e-05,5
v,290,6.5e-05,8,5.99e-05,8
v,291,6.5e-05,4,5.96e-05,4
v,292,6.52e-05,6,5.97e-05,6
v,293,6.51e-05,7,5.97e-05,7
v,294,6.5e-05,6,5.95e-05,6
v,295,6.5e-05,7,5.98e-05,7
v,296,6.53e-05,5,5.96e-05,5
v,297,6.51e-05,4,5.93e-05,4
v,298,6.53e-05,9,6e-05,9
v,299,6.51e-05,5,5.96e-05,5
v,300,6.87e-05,6,6.02e-05,6
v,301,6.51e-05,6,5.97e-05,6
v,302,6.51e-05,6,5.98e-05,6
v,303,6.51e-05,5,5.95e-05,5
v,304,6.5e-05,8,6e-05,8
v,305,6.51e-05,6,5.96e-05,6
v,306,6.49e-05,6,5.95e-05,6
v,307,6.49e-05,4,5.95e-05,4
v,308,6.52e-05,6,5.96e-05,6
v,309,6.51e-05,5,5.94e-05,5
v,310,6.5e-05,8,6.09e-05,8
v,311,6.49e-05,6,5.96e-05,6
v,312,6.5e-05,8,6e-05,8
v,313,6.51e-05,5,5.95e-05,5
v,314,6.51e-05,5,5.95e-05,5
v,315,6.52e-05,9,6e-05,9
v,316,6.86e-05,4,5.98e-05,4
v,317,6.49e-05,8,6.01e-05,8
v,318,6.5e-05,6,5.97e-05,6
v,319,6.51e-05,4,5.94e-05,4
v,320,6.5e-05,5,5.96e-05,5
v,321,6.5e-05,7,5.98e-05,7
v,322,6.52e-05,6,5.96e-05,6
v,323,6.51e-05,7,6.02e-05,7
v,324,6.51e-05,7,5.97e-05,7
v,325,6.52e-05,6,5.96e-05,6
v,326,6.5e-05,6,5.97e-05,6
v,327,6.51e-05,6,5.96e-05,6
v,328,6.5e-05,7,5.98e-05,7
v,329,6.5e-05,4,5.94e-05,4
v,330,6.73e-05,6,6.01e-05,6
v,331,6.52e-05,6,5.99e-05,6
v,332,6.51e-05,6,5.97e-05,6
v,333,6.52e-05,7,9.37e-05,7
v,334,6.5e-05,4,5.95e-05,4
v,335,6.52e-05,5,5.95e-05,5
v,336,6.51e-05,8,6.01e-05,8
v,337,6.51e-05,5,5.96e-05,5
v,338,6.51e-05,10,6.02e-05,10
v,339,6.52e-05,6,5.97e-05,6
v,340,6.53e-05,6,5.97e-05,6
v,341,6.51e-05,7,5.97e-05,7
v,342,6.51e-05,5,5.95e-05,5
v,343,6.5e-05,3,6.31e-05,3
v,344,6.51e-05,5,5.98e-05,5
v,345,6.5e-05,7,5.99e-05,7
v,346,6.49e-05,4,5.95e-05,4
v,347,6.51e-05,6,5.98e-05,6
v,348,6.5e-05,6,5.96e-05,6
v,349,6.5e-05,5,5.95e-05,5
v,350,6.5e-05,6,5.97e-05,6
v,351,6.5e-05,6,5.97e-05,6
v,352,6.5e-05,7,5.98e-05,7
v,353,6.49e-05,5,5.95e-05,5
v,354,6.5e-05,7,5.98e-05,7
v,355,6.52e-05,9,6e-05,9
v,356,6.51e-05,5,5.94e-05,5
v,357,6.5e-05,8,5.98e-05,8
v,358,6.51e-05,3,5.92e-05,3
v,359,6.51e-05,6,6.29e-05,6
v,360,6.52e-05,7,6.01e-05,7
v,361,6.52e-05,8,6e-05,8
v,362,6.51e-05,6,5.98e-05,6
v,363,6.5e-05,4,5.93e-05,4
v,364,6.51e-05,6,5.97e-05,6
v,365,6.51e-05,6,5.97e-05,6
v,366,6.51e-05,6,5.97e-05,6
v,367,6.51e-05,5,0.0002173,5
v,368,8e-05,6,6.05e-05,6
v,369,7.91e-05,5,5.97e-05,5
v,370,7.82e-05,6,5.98e-05,6
v,371,7.89e-05,5,5.96e-05,5
v,372,7.76e-05,8,6e-05,8
v,373,7.79e-05,5,5.95e-05,5
v,374,7.8e-05,6,5.96e-05,6
v,375,7.62e-05,5,5.96e-05,5
