Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,157,2.59e-05,48,1.2e-06,26
v,158,6.8e-06,16,5e-07,10
v,159,6.6e-06,16,5e-07,10
v,160,6.8e-06,16,5e-07,10
v,161,6.4e-06,16,4e-07,10
v,162,1.02e-05,24,6e-07,17
v,163,6.5e-06,16,4e-07,10
v,164,6.6e-06,16,5e-07,10
v,165,1.13e-05,24,9e-07,17
v,166,3.4e-06,8,5e-07,7
v,167,3.3e-06,8,1e-06,7
v,168,9.9e-06,22,7e-07,17
v,169,3.2e-06,8,5e-07,7
v,170,7.3e-06,18,6e-07,14
v,171,7e-06,16,3e-07,10
v,172,7.7e-06,18,6e-07,11
v,173,2.57e-05,48,8e-07,26
v,174,6.7e-06,16,5e-07,10
v,175,2.9e-06,7,3e-07,7
v,176,4.9e-06,12,7e-07,11
v,177,4.6e-06,12,4e-07,10
v,178,3.03e-05,56,1.4e-06,30
v,179,6.8e-06,16,4e-07,10
v,180,6.4e-06,16,9e-07,10
v,181,2.6e-05,48,1.1e-06,26
v,182,7.4e-06,16,5e-07,10
v,183,7.1e-06,16,4e-07,10
v,184,6.8e-06,16,5e-07,10
v,185,6.3e-06,16,5e-07,10
v,186,2.42e-05,48,9e-07,26
v,187,6.4e-06,16,4e-07,10
v,188,6.7e-06,16,7e-07,10
v,189,2.61e-05,48,1.2e-06,26
v,190,7.6e-06,16,5e-07,10
v,191,6.6e-06,16,5e-07,10
v,192,6.6e-06,16,4e-07,10
v,193,6.6e-06,16,4e-07,10
v,194,2.39e-05,48,8e-07,26
v,195,6.6e-06,16,4e-07,10
v,196,6.6e-06,16,7e-07,10
v,197,2.65e-05,48,1e-06,26
v,198,7.1e-06,16,5e-07,10
v,199,6.5e-06,16,5e-07,10
v,200,6.8e-06,16,6e-07,10
v,201,6.4e-06,16,5e-07,10
v,202,2.46e-05,48,7e-07,26
v,203,6.6e-06,16,4e-07,10
v,204,6.7e-06,16,5e-07,10
v,205,2.73e-05,48,1.2e-06,26
v,206,7.5e-06,16,5e-07,10
v,207,6.4e-06,16,4e-07,10
v,208,6.9e-06,16,4e-07,10
v,209,6.9e-06,16,5e-07,10
v,210,1e-05,24,5e-07,17
v,211,6.6e-06,16,4e-07,10
v,212,6.7e-06,16,5e-07,10
v,213,1.13e-05,24,7e-07,17
v,214,3.2e-06,8,6e-07,7
v,215,3e-06,8,4e-07,7
v,216,5.9e-06,14,6e-07,12
v,217,1.29e-05,28,1.2e-06,21
v,218,7.7e-06,18,6e-07,11
v,219,2.6e-06,7,4e-07,7
v,220,1.41e-05,31,7e-07,21
v,221,6.9e-06,16,4e-07,10
v,222,6.8e-06,16,5e-07,10
v,223,2.59e-05,48,1.2e-06,26
v,224,6.9e-06,16,4e-07,10
v,225,3.2e-06,8,4e-07,7
v,226,6.3e-06,16,4e-07,10
v,227,6.5e-06,16,5e-07,10
v,228,2.43e-05,48,8e-07,26
v,229,6.5e-06,16,4e-07,10
v,230,6.7e-06,16,5e-07,10
v,231,2.64e-05,48,9e-07,26
v,232,7.6e-06,16,4e-07,10
v,233,6.8e-06,16,4e-07,10
v,234,7.3e-06,16,5e-07,10
v,235,6.5e-06,16,4e-07,10
v,236,2.55e-05,48,6e-07,26
v,237,6.5e-06,16,4e-07,10
v,238,6.6e-06,16,6e-07,10
v,239,2.61e-05,48,8e-07,26
v,240,7.2e-06,16,5e-07,10
v,241,6.4e-06,16,5e-07,10
v,242,6.9e-06,16,5e-07,10
v,243,6.3e-06,16,4e-07,10
v,244,2.44e-05,48,6e-07,26
v,245,6.7e-06,16,4e-07,10
v,246,6.7e-06,16,4e-07,10
v,247,3.18e-05,48,1.1e-06,26
v,248,7.3e-06,16,5e-07,10
v,249,6.6e-06,16,5e-07,10
v,250,6.7e-06,16,4e-07,10
v,251,6.3e-06,16,4e-07,10
v,252,9.7e-06,24,6e-07,17
v,253,6.5e-06,16,4e-07,10
v,254,6.6e-06,16,5e-07,10
v,255,1.1e-05,24,8e-07,17
v,256,3.3e-06,8,4e-07,7
v,257,3.1e-06,8,4e-07,7
v,258,1.7e-06,4,4e-07,5
v,259,4.5e-06,12,4e-07,10
v,260,4.7e-06,12,5e-07,10
v,261,1.8e-06,4,4e-07,5
v,262,1.02e-05,22,1.3e-06,17
v,263,6.6e-06,16,8e-07,10
v,264,3.3e-06,8,4e-07,7
v,265,1.09e-05,27,1.2e-06,19
v,266,6.4e-06,16,8e-07,10
v,267,5e-06,12,5e-07,10
v,268,2.41e-05,48,1e-06,26
v,269,6.7e-06,16,4e-07,10
v,270,1.7e-06,4,3e-07,5
v,271,4e-06,10,5e-07,10
v,272,5.3e-06,13,4e-07,10
v,273,2.54e-05,52,8e-07,28
v,274,6.5e-06,16,1e-06,10
v,275,6.5e-06,16,6e-07,10
v,276,2.45e-05,48,1e-06,26
v,277,7.1e-06,16,4e-07,10
v,278,4.8e-06,12,3e-07,10
v,279,5.9e-06,14,7e-07,12
v,280,6.5e-06,16,4e-07,10
v,281,2.54e-05,52,1.1e-06,28
v,282,6.4e-06,16,8e-07,10
v,283,6.3e-06,16,5e-07,10
v,284,2.36e-05,48,1e-06,26
v,285,6.9e-06,16,5e-07,10
v,286,4.9e-06,12,3e-07,10
v,287,3.8e-06,10,5e-07,10
v,288,4.9e-06,13,4e-07,10
v,289,8e-06,20,5e-07,15
v,290,6.2e-06,16,4e-07,10
v,291,7.6e-06,18,6e-07,11
v,292,9.8e-06,22,7e-07,17
v,293,3.1e-06,8,3e-07,7
v,294,2.6e-06,7,3e-07,7
v,295,1.8e-06,4,5e-07,5
v,296,4.6e-06,12,5e-07,10
v,297,4.6e-06,12,4e-07,10
v,298,7.1e-06,17,6e-07,14
v,299,6.4e-06,16,4e-07,10
v,300,3e-06,8,5e-07,7
v,301,1.03e-05,24,7e-07,17
v,302,6.6e-06,16,4e-07,10
v,303,2.2e-06,6,3e-07,6
v,304,7.5e-06,19,4e-07,15
v,305,6.3e-06,16,4e-07,10
v,306,3e-06,8,4e-07,7
v,307,9.4e-06,22,6e-07,17
v,308,8.5e-06,20,5e-07,12
v,309,6e-06,14,6e-07,12
v,310,1.8e-06,4,4e-07,5
v,311,5.9e-06,14,2.1e-06,12
v,312,2.5e-06,6,4e-07,6
v,313,1.47e-05,31,8e-07,21
v,314,7e-07,0,2e-07,0
v,315,3.1e-06,8,4e-07,7
v,316,5.6e-06,14,6e-07,12
v,317,2.5e-06,6,4e-07,6
v,318,6.6e-06,16,6e-07,10
v,319,2.47e-05,48,1.2e-06,26
v,320,3.3e-06,8,4e-07,9
v,321,6.7e-06,16,5e-07,10
v,322,6.6e-06,16,5e-07,10
v,323,2.4e-06,6,4e-07,6
v,324,7.2e-06,18,6e-07,14
v,325,3.2e-06,8,4e-07,7
v,326,6.8e-06,16,5e-07,10
v,327,2.39e-05,48,8e-07,26
v,328,3.2e-06,8,5e-07,9
v,329,6.5e-06,16,4e-07,10
v,330,7.6e-06,18,5e-07,11
v,331,2.7e-06,7,4e-07,7
v,332,2.5e-06,7,4e-07,7
v,333,7.6e-06,18,6e-07,11
v,334,9.9e-06,22,8e-07,17
v,335,5.6e-06,14,7e-07,12
v,336,1.6e-06,4,4e-07,5
v,337,1.04e-05,22,1e-06,17
v,338,1.9e-06,4,6e-07,5
v,339,4.6e-06,12,4e-07,10
v,340,2.9e-06,8,4e-07,7
v,341,6.6e-06,16,6e-07,10
v,342,2.38e-05,48,9e-07,26
v,343,6.6e-06,16,5e-07,10
v,344,4.5e-06,12,5e-07,10
v,345,6.5e-06,16,5e-07,10
v,346,3.1e-06,8,4e-07,7
v,347,1.29e-05,30,7e-07,21
v,348,6.9e-06,16,4e-07,10
v,349,6.5e-06,16,5e-07,10
v,350,2.48e-05,48,8e-07,26
v,351,6.6e-06,16,4e-07,10
v,352,6.5e-06,16,4e-07,10
v,353,6.5e-06,16,5e-07,10
v,354,6.5e-06,16,4e-07,10
v,355,2.27e-05,48,6e-07,26
v,356,6.9e-06,16,5e-07,10
v,357,6.6e-06,16,4e-07,10
v,358,2.43e-05,48,8e-07,26
v,359,6.7e-06,16,5e-07,10
v,360,6.4e-06,16,3e-07,10
v,361,6.7e-06,16,4e-07,10
v,362,6.4e-06,16,5e-07,10
v,363,2.33e-05,48,7e-07,26
v,364,6.9e-06,16,4e-07,10
v,365,6.7e-06,16,7e-07,10
v,366,2.41e-05,48,9e-07,26
v,367,6.6e-06,16,4e-07,10
v,368,6.3e-06,16,4e-07,10
v,369,6.8e-06,16,4e-07,10
v,370,6.3e-06,16,6e-07,10
v,371,2.3e-05,48,7e-07,26
v,372,6.8e-06,16,4e-07,10
v,373,6.7e-06,16,5e-07,10
v,374,2.41e-05,48,1e-06,26
v,375,6.6e-06,16,6e-07,10
v,376,6.3e-06,16,4e-07,10
v,377,6.7e-06,16,4e-07,10
v,378,4.3e-06,12,3e-07,10
v,379,4.6e-06,12,4e-07,10
v,380,3e-06,8,4e-07,7
v,381,6.4e-06,16,5e-07,10
