Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,0,1.1e-06,6,7.03e-05,6
v,1,1e-07,4,6.27e-05,4
v,2,3e-07,7,6.35e-05,7
v,3,2e-07,6,6.75e-05,6
v,4,2e-07,7,6.32e-05,7
v,5,2e-07,6,6.25e-05,6
v,6,1e-07,7,6.26e-05,7
v,7,1e-07,6,6.32e-05,6
v,8,1e-07,5,6.24e-05,5
v,9,1e-07,7,6.26e-05,7
v,10,1e-07,7,6.26e-05,7
v,11,1e-07,6,6.25e-05,6
v,12,1e-07,6,6.26e-05,6
v,13,0,4,6.22e-05,4
v,14,2e-07,7,6.26e-05,7
v,15,2e-07,5,6.24e-05,5
v,16,1e-07,6,6.25e-05,6
v,17,1e-07,5,6.24e-05,5
v,18,1e-07,6,6.26e-05,6
v,19,1e-07,6,6.24e-05,6
v,20,1e-07,7,6.27e-05,7
v,21,1e-07,6,6.25e-05,6
v,22,1e-07,6,6.26e-05,6
v,23,1e-07,6,6.24e-05,6
v,24,1e-07,5,6.24e-05,5
v,25,1e-07,7,6.27e-05,7
v,26,1e-07,6,6.24e-05,6
v,27,1e-07,5,6.22e-05,5
v,28,2e-07,9,6.29e-05,9
v,29,2e-07,8,6.27e-05,8
v,30,1e-07,6,6.48e-05,6
v,31,1e-07,4,6.27e-05,4
v,32,1e-07,5,6.29e-05,5
v,33,1e-07,7,6.27e-05,7
v,34,1e-07,6,6.26e-05,6
v,35,1e-07,5,6.24e-05,5
v,36,1e-07,6,6.26e-05,6
v,37,1e-07,6,6.24e-05,6
v,38,1e-07,5,6.24e-05,5
v,39,1e-07,7,6.26e-05,7
v,40,1e-07,5,6.25e-05,5
v,41,2e-07,6,6.25e-05,6
v,42,1e-07,6,6.24e-05,6
v,43,2e-07,6,6.24e-05,6
v,44,1e-07,5,6.24e-05,5
v,45,2e-07,7,6.27e-05,7
v,46,1e-07,7,6.26e-05,7
v,47,2e-07,4,6.23e-05,4
v,48,1e-07,6,6.24e-05,6
v,49,2e-07,6,6.24e-05,6
v,50,2e-07,9,6.29e-05,9
v,51,0,7,6.26e-05,7
v,52,1e-07,8,6.27e-05,8
v,53,1e-07,7,6.27e-05,7
v,54,1e-07,4,0.0001805,4
v,55,1.4e-06,6,9.79e-05,6
v,56,3e-07,5,8.7e-05,5
v,57,7e-07,7,9.07e-05,7
v,58,4e-07,4,7.52e-05,4
v,59,2e-07,9,6.47e-05,9
v,60,2e-07,5,9.76e-05,5
v,61,3e-07,5,6.39e-05,5
v,62,2e-07,8,6.03e-05,8
v,63,3e-07,6,5.97e-05,6
v,64,1e-07,5,5.95e-05,5
v,65,1e-07,6,7.47e-05,6
v,66,2e-07,6,8.53e-05,6
v,67,3e-07,7,9.53e-05,7
